date,gdelt_goldstein,gdelt_tone,gdelt_conflict_cnt,gdelt_coop_cnt,gdelt_mentions,gdelt_conflict_intensity
2023-01-23,-0.3841538461538461,-2.529092163876018,202,448,3471,-6.059473684210526
2023-01-24,-0.4099290780141844,-3.796171998863901,520,1031,8615,-6.527494908350305
2023-01-25,0.4007159904534607,-2.3181970082608654,323,934,7439,-5.493265993265993
2023-01-26,-0.20805515239477507,-3.30585100710912,465,913,8736,-5.802304147465438
2023-01-27,-0.1520453115166772,-3.5720562110259184,495,1094,8663,-6.094957983193277
2023-01-30,0.08845500848896436,-3.587105085356525,171,418,3279,-6.874838709677419
2023-01-31,0.3106620808254514,-2.706204898780124,340,823,6765,-5.155451713395639
2023-02-01,0.27996918335901383,-3.3746686965231616,336,962,7179,-5.938095238095238
2023-02-02,0.5352409638554216,-2.323055642696765,424,1236,10925,-5.906870229007634
2023-02-03,0.18260340632603403,-3.0324135916255797,470,1174,8748,-6.059681093394078
2023-02-06,0.2370510396975425,-2.7197362901638447,164,365,3053,-5.847468354430379
2023-02-07,0.1679475982532751,-2.5939529198047224,336,809,6065,-6.245980707395498
2023-02-08,0.18735207100591708,-2.800494716622138,396,956,6472,-6.1300561797752815
2023-02-09,0.15336500395882818,-2.977896615036571,365,898,7468,-5.726299694189603
2023-02-10,-0.11385911179173049,-3.005932170466541,392,914,6541,-6.186486486486486
2023-02-13,-0.48330605564648127,-2.55206612665229,209,402,3976,-6.081538461538462
2023-02-14,0.02714497041420109,-1.9880128164656825,397,955,7663,-6.219623655913978
2023-02-15,-0.3777128547579299,-2.874517729572179,405,793,6512,-6.435917312661498
2023-02-16,0.17198347107438014,-2.4023514790321805,360,850,6678,-5.831686046511628
2023-02-17,0.27753023551877787,-2.7557716222567965,434,1137,7987,-5.632169576059851
2023-02-20,-0.6973333333333335,-2.030374969064092,143,307,2618,-6.819117647058824
2023-02-21,0.42022900763358767,-2.0205349235570096,286,762,5550,-6.093632958801498
2023-02-22,0.2324667822068168,-2.8034893528451468,508,1223,9289,-5.609832635983263
2023-02-23,0.7244105409153953,-2.8054595920160725,337,1105,8154,-6.069333333333334
2023-02-24,-0.32768729641693817,-3.950369027036057,523,1012,8792,-6.135403726708073
2023-02-27,0.32178030303030297,-2.9617511957347835,154,374,2654,-5.14962962962963
2023-02-28,0.5685884691848907,-2.6952202413056323,262,744,5114,-5.875965665236051
